"date","deployment","pm10_24","n","pm10_onlake","n_onlake","pm10_dunes","n_dunes","pm10_offlake","n_offlake","class","dunes"
2015-01-22,"Mill Site",4748,576,2384,288,NA,NA,2384,288,"mixed",NA
2015-02-05,"Lizard Tail",154,24,98,15,NA,NA,77,9,"mixed",NA
2015-02-05,"North Beach",175,24,175,24,NA,NA,20,0,"onlake",NA
2015-02-05,"Shell Cut",333,24,20,0,NA,NA,333,24,"offlake",NA
2015-02-06,"Shell Cut",262,24,113,10,NA,NA,169,14,"offlake",NA
2015-02-23,"Keeler",4628,576,20,0,4661,504,4628,576,"offlake",TRUE
2015-03-30,"Mill Site",108884,13824,63524,8064,NA,NA,45380,5760,"mixed",NA
2015-03-31,"Keeler",3764,576,1268,192,956,144,2516,384,"mixed",TRUE
2015-04-04,"Keeler",4940,576,2275,264,20,0,2685,312,"mixed",NA
2015-04-04,"Lizard Tail",155,24,147,13,NA,NA,28,10,"mixed",NA
2015-04-04,"North Beach",224,24,225,20,NA,NA,19,4,"onlake",NA
2015-04-13,"Keeler",6236,576,20,0,6230,360,6236,576,"offlake",TRUE
2015-04-13,"Mill Site",350228,13824,204308,8064,NA,NA,145940,5760,"mixed",NA
2015-06-30,"Lizard Tail",200,24,205,13,NA,NA,16,10,"onlake",NA
2015-07-31,"Keeler",4460,576,76,192,3760,120,4404,384,"offlake",TRUE
2015-07-31,"Mill Site",145172,13824,72596,6912,NA,NA,72596,6912,"mixed",NA
2015-11-14,"Shell Cut",240,24,17,11,NA,NA,244,13,"offlake",NA
2015-11-15,"Dirty Socks",216,24,216,24,NA,NA,20,0,"onlake",NA
2015-11-15,"Keeler",801,24,20,0,801,24,801,24,"offlake",TRUE
2015-11-15,"Lizard Tail",235,24,20,0,NA,NA,235,24,"offlake",NA
2015-11-15,"Mill Site",9452,576,9452,576,NA,NA,20,0,"onlake",NA
2015-11-15,"North Beach",445,24,20,0,NA,NA,445,24,"offlake",NA
2015-11-15,"Olancha",385,24,385,23,NA,NA,19,1,"onlake",NA
2015-11-15,"Shell Cut",238,24,238,24,NA,NA,20,0,"onlake",NA
2015-11-15,"Stanley",157,24,158,22,NA,NA,19,2,"onlake",NA
2015-11-23,"Dirty Socks",205,24,26,7,NA,NA,199,17,"offlake",NA
2015-11-23,"Keeler",5108,576,2924,288,4,24,2216,288,"mixed",NA
2015-11-23,"Mill Site",845012,13824,387308,6336,NA,NA,457724,7488,"mixed",NA
2015-11-23,"Olancha",207,24,19,2,NA,NA,208,22,"offlake",NA
2015-11-23,"Shell Cut",730,24,23,6,NA,NA,727,18,"offlake",NA
2015-12-09,"Olancha",225,24,20,0,NA,NA,225,24,"offlake",NA
2015-12-09,"Shell Cut",296,24,293,15,NA,NA,23,9,"onlake",NA
2016-01-29,"Olancha",280,24,20,0,NA,NA,280,24,"offlake",NA
2016-01-29,"Stanley",168,24,14,9,NA,NA,174,15,"offlake",NA
2016-01-31,"Keeler",237,24,20,0,238,21,237,24,"offlake",TRUE
2016-03-04,"Lizard Tail",179,24,162,14,NA,NA,37,10,"onlake",NA
2016-03-04,"Shell Cut",479,24,19,2,NA,NA,480,22,"offlake",NA
2016-03-27,"Keeler",154,24,152,10,22,4,22,14,"onlake",NA
2016-03-27,"North Beach",368,23,354,7,NA,NA,35,16,"onlake",NA
2016-03-27,"Shell Cut",205,24,118,18,NA,NA,107,6,"mixed",NA
2016-04-13,"Keeler",182,24,18,5,186,15,185,19,"offlake",TRUE
2016-04-14,"Keeler",199,24,20,0,79,11,199,24,"offlake",NA
2016-04-14,"Lizard Tail",151,24,20,0,NA,NA,151,24,"offlake",NA
2016-04-14,"North Beach",250,24,20,0,NA,NA,250,24,"offlake",NA
2016-04-21,"Shell Cut",227,23,153,8,NA,NA,94,15,"onlake",NA
2016-05-19,"Keeler",175,24,170,17,20,0,25,7,"onlake",NA
2016-05-19,"Shell Cut",305,24,20,0,NA,NA,305,24,"offlake",NA
2016-06-14,"Shell Cut",209,24,20,0,NA,NA,209,24,"offlake",NA
2016-10-14,"Shell Cut",3308,576,1116,192,NA,NA,2212,384,"mixed",NA
2016-10-15,"Keeler",202,24,192,14,20,0,30,10,"onlake",NA
2016-10-15,"Lizard Tail",199,24,147,13,NA,NA,72,11,"mixed",NA
2016-10-15,"Lone Pine",228,24,19,7,NA,NA,229,17,"offlake",NA
2016-10-15,"Olancha",531,24,20,0,NA,NA,531,24,"offlake",NA
2016-10-15,"Shell Cut",4412,576,3131,408,NA,NA,1301,168,"mixed",NA
2016-10-16,"Shell Cut",7388,576,941,72,NA,NA,6467,504,"mixed",NA
2016-10-29,"Dirty Socks",171,24,20,0,NA,NA,171,24,"offlake",NA
